Market,Cat_ID,Cat_Name,Parent_ID,Level,Full_Path
쿠팡,C001006,기타방풍/열차단용품,C001007,4,생활용품 > 생활잡화 > 실내보온용품 > 기타방풍/열차단용품
쿠팡,C001009,야외매트,C000944,3,생활용품 > 생활잡화 > 야외매트
쿠팡,C001008,업소용현관매트,C001009,4,생활용품 > 생활잡화 > 야외매트 > 업소용현관매트
쿠팡,C001011,코일매트/롤매트,C001009,4,생활용품 > 생활잡화 > 야외매트 > 코일매트/롤매트
쿠팡,C001010,매트부자재,C001011,5,생활용품 > 생활잡화 > 야외매트 > 코일매트/롤매트 > 매트부자재
쿠팡,C001012,미끄럼방지/코일매트,C001011,5,생활용품 > 생활잡화 > 야외매트 > 코일매트/롤매트 > 미끄럼방지/코일매트
쿠팡,C001013,발코니매트,C001011,5,생활용품 > 생활잡화 > 야외매트 > 코일매트/롤매트 > 발코니매트
쿠팡,C001015,이미용소품,C000944,3,생활용품 > 생활잡화 > 이미용소품
쿠팡,C001014,기타빗/빗세트,C001015,4,생활용품 > 생활잡화 > 이미용소품 > 기타빗/빗세트
쿠팡,C001016,기타이미용소품,C001015,4,생활용품 > 생활잡화 > 이미용소품 > 기타이미용소품
쿠팡,C001018,장바구니/카트,C000944,3,생활용품 > 생활잡화 > 장바구니/카트
쿠팡,C001017,쇼핑카트,C001018,4,생활용품 > 생활잡화 > 장바구니/카트 > 쇼핑카트
쿠팡,C001019,장바구니,C001018,4,생활용품 > 생활잡화 > 장바구니/카트 > 장바구니
쿠팡,C001020,핸드카트,C001018,4,생활용품 > 생활잡화 > 장바구니/카트 > 핸드카트
쿠팡,C001022,정리소품,C000944,3,생활용품 > 생활잡화 > 정리소품
쿠팡,C001021,고무줄/고무밴드,C001022,4,생활용품 > 생활잡화 > 정리소품 > 고무줄/고무밴드
쿠팡,C001023,기타집게,C001022,4,생활용품 > 생활잡화 > 정리소품 > 기타집게
쿠팡,C001024,마개/기타캡,C001022,4,생활용품 > 생활잡화 > 정리소품 > 마개/기타캡
쿠팡,C001025,봉지집게,C001022,4,생활용품 > 생활잡화 > 정리소품 > 봉지집게
쿠팡,C001027,전선정리소품,C001022,4,생활용품 > 생활잡화 > 정리소품 > 전선정리소품
쿠팡,C001026,케이블 정리박스,C001027,5,생활용품 > 생활잡화 > 정리소품 > 전선정리소품 > 케이블 정리박스
쿠팡,C001028,케이블 정리소품,C001027,5,생활용품 > 생활잡화 > 정리소품 > 전선정리소품 > 케이블 정리소품
쿠팡,C001029,케이블타이,C001027,5,생활용품 > 생활잡화 > 정리소품 > 전선정리소품 > 케이블타이
